Name, Discount Price, Original Price, Discount Rate, Link
Nike Tech Pack, 79.97, 100, 20.030000000000005, https://www.nike.com/t/tech-pack-mens-2-in-1-running-shorts-BDx4mn/AR9823-284
Nike Sportswear Tech Pack, 83.97, 120, 30.025000000000002, https://www.nike.com/t/sportswear-tech-pack-mens-cropped-woven-pants-r4vpVL/AR1562-247
Nike Sportswear Tech Pack, 83.97, 120, 30.025000000000002, https://www.nike.com/t/sportswear-tech-pack-mens-cropped-woven-pants-r4vpVL/AR1562-427
Nike Windrunner, 84.97, 110, 22.75454545454546, https://www.nike.com/t/windrunner-mens-running-jacket-FQfH7g/AR0257-518
Nike Windrunner, 79.97, 110, 27.3, https://www.nike.com/t/windrunner-mens-running-jacket-FQfH7g/AR0257-010
Nike Windrunner, 84.97, 110, 22.75454545454546, https://www.nike.com/t/windrunner-mens-running-jacket-FQfH7g/AR0257-277
Nike Windrunner, 79.97, 110, 27.3, https://www.nike.com/t/windrunner-mens-running-jacket-FQfH7g/AR0257-011
Nike Dri-FIT Nathan Bell, 19.97, 25, 20.120000000000005, https://www.nike.com/t/dri-fit-nathan-bell-mens-running-t-shirt-rm7vD0
Nike Dri-FIT Nathan Bell, 19.97, 25, 20.120000000000005, https://www.nike.com/t/dri-fit-nathan-bell-mens-running-t-shirt-rm7vD0/AO0650-010
Nike Dri-FIT, 39.97, 50, 20.06, https://www.nike.com/t/dri-fit-mens-pullover-training-hoodie-0m71g8/860469-480
Nike Dri-FIT, 44.97, 50, 10.060000000000002, https://www.nike.com/t/dri-fit-mens-pullover-training-hoodie-0m71g8/860469-471
Nike Rise React Flyknit, 156.97, 175, 10.302857142857146, https://www.nike.com/t/rise-react-flyknit-running-shoe-h4TF3B/AV5554-003
Nike Rise React Flyknit, 112.97, 175, 35.44571428571429, https://www.nike.com/t/rise-react-flyknit-running-shoe-h4TF3B/AV5554-002
Nike Rise React Flyknit, 121.97, 175, 30.302857142857142, https://www.nike.com/t/rise-react-flyknit-running-shoe-h4TF3B/AV5554-004
